,ags2,ags5,kreis,median_income,purchasing_power_per_household,purchasing_power_per_person,debtor_quota,household_in_income_calss_1,household_in_income_calss_2,household_in_income_calss_3,household_in_income_calss_4,household_in_income_calss_5,household_in_income_calss_6
206,08,08317,Ortenaukreis,3189,52446,23978,8.3,6403,24564,58804,42913,30884,32580
207,08,08325,Rottweil,3382,56598,25752,8.0,4478,9037,17917,12239,9421,10298
208,08,08326,Schwarzwald-Baar-Kreis,3271,52368,25208,9.2,7999,16390,30436,18934,13705,14693
209,08,08327,Tuttlingen,3493,57888,25879,9.2,2279,8039,18536,13244,10009,10504
210,08,08335,Konstanz,3267,49694,25398,10.2,3672,17140,42553,28681,23847,29859
211,08,08336,Lörrach,3382,57571,27502,8.8,2096,8749,29653,24811,18755,25070
212,08,08337,Waldshut,3117,54727,25813,8.9,2463,8897,23603,18227,12442,14752
213,08,08415,Reutlingen,3496,54317,25102,7.8,3704,14238,36209,28566,22665,27033
214,08,08416,Tübingen,3484,48791,23930,6.0,6524,13012,27661,23002,18007,23225
215,08,08417,Zollernalbkreis,3261,56699,26236,8.3,7270,13465,22789,16159,13124,14550
216,08,08421,Ulm,3650,52858,26687,8.3,891,5540,19727,14423,10206,12974
217,08,08425,Alb-Donau-Kreis,3239,54165,24277,6.3,2830,9654,24587,18618,14640,17462
218,08,08426,Biberach,3716,54814,24806,6.5,5934,11515,23656,16777,14225,18211
219,08,08435,Bodenseekreis,3896,55453,27207,7.3,2180,8681,26697,22173,18889,27398
220,08,08436,Ravensburg,3250,52639,24175,7.0,6682,14735,33787,24398,21855,28991
221,08,08437,Sigmaringen,3288,51467,23384,9.1,3082,8796,18681,11824,8718,8311
222,09,09161,Ingolstadt,4635,50031,24497,7.2,1996,7855,16487,12068,11316,17329
223,09,09162,München,4169,53288,29432,9.0,5704,29352,151977,161041,182680,281801
224,09,09163,Rosenheim,3291,45238,23788,10.3,679,3665,10882,6617,5082,6356
225,09,09171,Altötting,3524,51040,23954,6.9,3863,7937,14083,9347,7661,9253
226,09,09172,Berchtesgadener Land,2923,47006,23313,6.7,3155,7669,15506,7814,7833,10420
227,09,09173,Bad Tölz-Wolfratshausen,3104,57960,27558,6.7,635,3041,12980,12195,9769,21828
228,09,09174,Dachau,3085,57569,25900,6.1,548,2584,11528,14219,16330,23996
229,09,09175,Ebersberg,3103,61899,28087,5.8,315,2008,9685,11308,15147,25989
230,09,09176,Eichstätt,3219,57000,25002,3.7,2572,4827,10717,10177,11584,18132
231,09,09177,Erding,2936,57961,25540,6.3,807,3506,11727,11590,12625,20372
232,09,09178,Freising,3440,52128,24391,7.0,1292,5041,17578,18701,17345,23793
233,09,09179,Fürstenfeldbruck,3164,58261,26916,6.5,606,4284,19118,19261,22304,35692
234,09,09180,Garmisch-Partenkirchen,2843,49597,26689,7.5,2842,5168,12336,8833,6998,11394
235,09,09181,Landsberg am Lech,3308,56780,26589,5.7,1428,4002,10648,9501,10403,20202
236,09,09182,Miesbach,3099,60107,30506,7.2,941,2875,8913,8065,9470,20338
237,09,09183,Mühldorf a.Inn,3074,54173,24417,7.9,3807,7520,12422,8756,8394,10994
238,09,09184,München,4227,66638,31823,6.4,202,2877,18022,29775,42932,72733
239,09,09185,Neuburg-Schrobenhausen,3209,52925,24387,5.4,3066,5599,9440,7353,7688,11372
240,09,09186,Pfaffenhofen a.d.Ilm,3282,58858,26983,6.3,1797,4063,10456,10662,12038,19245
241,09,09187,Rosenheim,3023,55977,26628,6.5,2669,9588,25856,21676,23411,40861
242,09,09188,Starnberg,3656,82669,39727,6.3,226,1149,5351,7588,12675,38373
243,09,09189,Traunstein,3249,52399,25433,5.9,6253,11352,18881,12146,14578,22683
244,09,09190,Weilheim-Schongau,3509,54585,25926,6.7,1769,5871,15103,11263,11178,19065
245,09,09261,Landshut,3140,49416,25399,8.4,2595,5537,10345,6106,5045,7565
246,09,09262,Passau,3265,35509,21819,9.7,9186,7564,6454,3532,2745,2760
247,09,09263,Straubing,3007,44031,22767,11.5,3180,5220,7220,3611,2570,2904
248,09,09271,Deggendorf,3056,48911,23216,7.5,6370,8641,14641,9894,8048,9020
249,09,09272,Freyung-Grafenau,2773,45360,21903,6.1,5394,6124,11051,6765,4611,3864
250,09,09273,Kelheim,3094,54715,23994,6.5,2648,5980,14081,10828,8935,11097
251,09,09274,Landshut,3096,56577,24801,5.6,2266,6667,15849,13116,13074,18522
252,09,09275,Passau,2749,49471,22938,6.6,10886,11625,23172,17440,12638,13207
253,09,09276,Regen,2888,45594,21926,6.5,4893,6838,10620,6792,4479,3683
254,09,09277,Rottal-Inn,2796,53002,24131,6.3,5110,7371,13962,10684,8590,9187
255,09,09278,Straubing-Bogen,2834,56175,24331,5.3,2814,4536,10189,9229,7532,9258
256,09,09279,Dingolfing-Landau,3911,57775,25361,6.3,2479,4714,10636,8500,7038,8847
257,09,09361,Amberg,3416,41970,23419,10.3,4108,4929,6990,2839,2073,2470
258,09,09362,Regensburg,3676,39104,23145,9.8,8862,15576,27459,16033,10360,12011
259,09,09363,Weiden i.d.OPf.,2823,38961,22428,11.7,5458,5780,6386,2900,1880,2057
260,09,09371,Amberg-Sulzbach,3107,49611,23551,6.2,4175,7927,14461,9604,6697,6031
261,09,09372,Cham,2821,49590,23023,6.0,5610,9808,18130,10983,7859,6910
262,09,09373,Neumarkt i.d.OPf.,3182,55036,24667,5.4,4143,5998,15384,12397,9674,12202
263,09,09374,Neustadt a.d.Waldnaab,2942,47345,23600,6.6,5072,9055,14110,7766,5668,5376
